scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,over_under_2_5_market,match_url
2025-08-25 14:43:03 UTC,2020-01-29 19:45:00 UTC,West Ham,Liverpool,Premier League 2019/2020,0,2,"0:1, 0:1",London Stadium,London,England,"[{'odds_over': '1.61', 'odds_under': '2.38', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.55', 'odds_under': '2.43', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.53', 'odds_under': '2.40', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.58', 'odds_under': '2.51', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.49', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.63(339)', 'odds_under': '2.58(979)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.63(339)', 'odds_under': '2.58(979)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.63(339)', 'odds_under': '2.58(979)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/west-ham-liverpool-rJQfLkl7/
2025-08-25 14:43:01 UTC,2020-07-11 19:00:00 UTC,Brighton,Manchester City,Premier League 2019/2020,0,5,"0:2, 0:3",Amex Stadium,Brighton,England,"[{'odds_over': '1.42', 'odds_under': '2.96', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.50', 'odds_under': '2.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.44', 'odds_under': '2.65', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.88', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.47', 'odds_under': '2.85', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.50(6328)', 'odds_under': '2.96(2117)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.50(6328)', 'odds_under': '2.96(2117)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.50(6328)', 'odds_under': '2.96(2117)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/brighton-manchester-city-KYjytc4o/
2025-08-25 14:42:59 UTC,2020-01-01 15:00:00 UTC,Southampton,Tottenham,Premier League 2019/2020,1,0,"1:0, 0:0",St. Mary's Stadium,Southampton,England,"[{'odds_over': '1.70', 'odds_under': '2.20', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.66', 'odds_under': '2.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.62', 'odds_under': '2.20', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.69', 'odds_under': '2.29', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.70', 'odds_under': '2.28', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.74(1279)', 'odds_under': '2.34(636)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.74(1279)', 'odds_under': '2.34(636)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.74(1279)', 'odds_under': '2.34(636)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/southampton-tottenham-b9FBnSn6/
2025-08-25 14:44:26 UTC,2019-09-28 14:00:00 UTC,Wolves,Watford,Premier League 2019/2020,2,0,"1:0, 1:0",Molineux Stadium,Wolverhampton,England,"[{'odds_over': '1.86', 'odds_under': '2.05', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.98', 'odds_under': '1.83', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.91', 'odds_under': '1.83', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '2.01', 'odds_under': '1.91', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '2.01', 'odds_under': '1.91', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '2.06(1218)', 'odds_under': '1.94(71)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.06(1218)', 'odds_under': '1.94(71)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '2.06(1218)', 'odds_under': '1.94(71)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/wolves-watford-bwZp64QC/
2025-08-25 14:44:29 UTC,2020-02-19 19:30:00 UTC,Manchester City,West Ham,Premier League 2019/2020,2,0,"1:0, 1:0",Etihad Stadium,Manchester,England,"[{'odds_over': '1.27', 'odds_under': '3.90', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.25', 'odds_under': '4.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.25', 'odds_under': '3.70', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.27', 'odds_under': '4.11', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.30(5026)', 'odds_under': '4.20(714)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.30(5026)', 'odds_under': '4.20(714)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.30(5026)', 'odds_under': '4.20(714)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/manchester-city-west-ham-KxqOVcOm/
2025-08-25 14:44:28 UTC,2019-12-03 20:15:00 UTC,Burnley,Manchester City,Premier League 2019/2020,1,4,"0:1, 1:3",Turf Moor,Burnley,England,"[{'odds_over': '1.37', 'odds_under': '3.22', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.38', 'odds_under': '3.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.45', 'odds_under': '2.65', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.42', 'odds_under': '3.08', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.47(1471)', 'odds_under': '3.10(3232)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.47(1471)', 'odds_under': '3.10(3232)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.47(1471)', 'odds_under': '3.10(3232)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/burnley-manchester-city-tYza78Nu/
2025-08-25 14:44:24 UTC,2019-08-25 15:30:00 UTC,Tottenham,Newcastle,Premier League 2019/2020,0,1,"0:1, 0:0",Tottenham Hotspur Stadium,London,England,"[{'odds_over': '1.54', 'odds_under': '2.55', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.38', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.57', 'odds_under': '2.30', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.61', 'odds_under': '2.44', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.50', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.63(5662)', 'odds_under': '2.56(2483)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.63(5662)', 'odds_under': '2.56(2483)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.63(5662)', 'odds_under': '2.56(2483)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/tottenham-newcastle-utd-fqPVZupH/
2025-08-25 14:45:09 UTC,2019-10-27 16:30:00 UTC,Liverpool,Tottenham,Premier League 2019/2020,2,1,"0:1, 2:0",Anfield,Liverpool,England,[],https://www.oddsportal.com/football/england/premier-league-2019-2020/liverpool-tottenham-6LVTzGV3/
2025-08-25 14:45:11 UTC,2019-12-26 15:00:00 UTC,Everton,Burnley,Premier League 2019/2020,1,0,"0:0, 1:0",Goodison Park,Liverpool,England,[],https://www.oddsportal.com/football/england/premier-league-2019-2020/everton-burnley-80bHxiJs/
2025-08-25 14:45:54 UTC,2019-12-21 15:00:00 UTC,Aston Villa,Southampton,Premier League 2019/2020,1,3,"0:2, 1:1",Villa Park,Birmingham,England,"[{'odds_over': '1.59', 'odds_under': '2.42', 'bookmaker_name': '1xBet', 'period': 'FullTime'}, {'odds_over': '1.60', 'odds_under': '2.32', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'odds_over': '1.57', 'odds_under': '2.30', 'bookmaker_name': 'bwin', 'period': 'FullTime'}, {'odds_over': '1.59', 'odds_under': '2.49', 'bookmaker_name': 'Dafabet', 'period': 'FullTime'}, {'odds_over': '1.63', 'odds_under': '2.43', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}, {'odds_over': '1.67(200)', 'odds_under': '2.46(1460)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.67(200)', 'odds_under': '2.46(1460)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}, {'odds_over': '1.67(200)', 'odds_under': '2.46(1460)', 'bookmaker_name': 'Unknown', 'period': 'FullTime'}]",https://www.oddsportal.com/football/england/premier-league-2019-2020/aston-villa-southampton-EuEcq2zc/
