scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-31 03:37:10 UTC,2023-06-06 18:30:00 UTC,Lausanne Ouchy,Sion,Challenge League 2022/2023,4,2,"2:2, 2:0",Stade Olympique de la Pontaise,Lausanne,Switzerland,https://www.oddsportal.com/football/switzerland/challenge-league-2022-2023/lausanne-ouchy-sion-hMmHLfCr/
2025-08-31 03:37:10 UTC,2023-06-03 16:00:00 UTC,Sion,Lausanne Ouchy,Challenge League 2022/2023,0,2,"0:1, 0:1",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/challenge-league-2022-2023/sion-lausanne-ouchy-jD1kQz4R/
2025-08-31 03:39:24 UTC,2023-05-29 14:30:00 UTC,Basel,Grasshoppers,Super League 2022/2023,3,1,"0:0, 3:1",St. Jakob-Park,Basel,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2022-2023/basel-grasshoppers-Au79mwWH/
2025-08-31 03:39:35 UTC,2023-05-29 14:30:00 UTC,Luzern,Servette,Super League 2022/2023,0,1,"0:1, 0:0",Swissporarena,Luzern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2022-2023/luzern-servette-426DncoO/
2025-08-31 03:40:18 UTC,2023-05-29 14:30:00 UTC,St. Gallen,Sion,Super League 2022/2023,4,0,"3:0, 1:0",Kybunpark,St. Gallen,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2022-2023/st-gallen-sion-rg5HoH0U/
2025-08-31 03:41:30 UTC,2023-05-25 18:30:00 UTC,Grasshoppers,St. Gallen,Super League 2022/2023,2,2,"1:1, 1:1",Letzigrund Stadion,Zrich,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2022-2023/grasshoppers-st-gallen-UPBlh1Hn/
2025-08-31 03:43:36 UTC,2023-05-25 18:30:00 UTC,Sion,Luzern,Super League 2022/2023,1,2,"1:0, 0:2",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2022-2023/sion-luzern-GtE0ka15/
