scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,match_url
2025-08-30 20:40:18 UTC,2021-05-30 14:00:00 UTC,Sion,Thun,Challenge League 2020/2021,2,3,"2:2, 0:1",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/challenge-league-2020-2021/sion-thun-6Dkqsvl4/
2025-08-30 20:39:39 UTC,2021-05-27 18:30:00 UTC,Thun,Sion,Challenge League 2020/2021,1,4,"0:2, 1:2",Stockhorn Arena,Thun,Switzerland,https://www.oddsportal.com/football/switzerland/challenge-league-2020-2021/thun-sion-SMjurKYc/
2025-08-30 20:42:05 UTC,2021-05-21 18:30:00 UTC,Lausanne,Young Boys,Super League 2020/2021,2,4,"2:2, 0:2",Stade de la Tuiliere,Lausanne,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lausanne-young-boys-x4nOqCOF/
2025-08-30 20:42:06 UTC,2021-05-21 18:30:00 UTC,Luzern,Lugano,Super League 2020/2021,1,2,"0:1, 1:1",Swissporarena,Luzern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/luzern-lugano-jBSbwA1q/
2025-08-30 20:43:52 UTC,2021-05-21 18:30:00 UTC,Servette,St. Gallen,Super League 2020/2021,1,2,"0:2, 1:0",Stade de Genève,Geneva,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/servette-st-gallen-YVuXsjgS/
2025-08-30 20:43:52 UTC,2021-05-21 18:30:00 UTC,Sion,Basel,Super League 2020/2021,4,0,"3:0, 1:0",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-basel-fusTrWwM/
2025-08-30 20:45:39 UTC,2021-05-21 18:30:00 UTC,Zurich,Vaduz,Super League 2020/2021,4,1,"2:1, 2:0",Letzigrund Stadion,Zrich,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-vaduz-Kj2G4n0r/
2025-08-30 20:45:39 UTC,2021-05-15 18:30:00 UTC,Basel,Zurich,Super League 2020/2021,4,0,"2:0, 2:0",St. Jakob-Park,Basel,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/basel-zurich-bDmKph99/
2025-08-30 20:47:46 UTC,2021-05-15 18:30:00 UTC,Lugano,Sion,Super League 2020/2021,3,1,"2:1, 1:0",Stadio di Cornaredo,Lugano,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/lugano-sion-4jlGoYg3/
2025-08-30 20:47:47 UTC,2021-05-15 18:30:00 UTC,St. Gallen,Lausanne,Super League 2020/2021,5,0,"3:0, 2:0",Kybunpark,St. Gallen,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/st-gallen-lausanne-65VCnEvc/
2025-08-30 20:49:32 UTC,2021-05-15 18:30:00 UTC,Vaduz,Servette,Super League 2020/2021,1,3,"1:1, 0:2",Rheinpark Stadion,Vaduz,Liechtenstein,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-servette-E9Pm9SiR/
2025-08-30 20:49:33 UTC,2021-05-15 18:30:00 UTC,Young Boys,Luzern,Super League 2020/2021,5,2,"1:2, 4:0",Stadion Wankdorf,Bern,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/young-boys-luzern-40iUNU1d/
2025-08-30 20:51:19 UTC,2021-05-12 18:30:00 UTC,Sion,Luzern,Super League 2020/2021,1,1,"0:0, 1:1",Stade de Tourbillon,Sion,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/sion-luzern-xnylramB/
2025-08-30 20:51:20 UTC,2021-05-12 18:30:00 UTC,Zurich,St. Gallen,Super League 2020/2021,2,2,"2:0, 0:2",Letzigrund Stadion,Zrich,Switzerland,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/zurich-st-gallen-KAQhsJ2H/
2025-08-30 20:53:06 UTC,2021-05-11 16:15:00 UTC,Vaduz,Young Boys,Super League 2020/2021,0,2,"0:1, 0:1",Rheinpark Stadion,Vaduz,Liechtenstein,https://www.oddsportal.com/football/switzerland/super-league-2020-2021/vaduz-young-boys-zJQqA8xL/
